file,type,lines,function_defs,function_comments,variable_comments,tab_count,trailing_ws_lines,status
src/FreeRTOSConfig.h,C/H,70,0,0,1,0,0,PASS
src/applications/app.c,C/H,135,7,8,12,0,0,PASS
src/applications/app.h,C/H,62,0,11,0,0,0,PASS
src/applications/app_adc.c,C/H,533,26,20,51,0,0,PASS
src/applications/app_adc.h,C/H,74,0,10,11,0,0,PASS
src/applications/app_command.c,C/H,229,12,12,11,0,0,PASS
src/applications/app_command.h,C/H,65,0,12,0,0,0,PASS
src/applications/app_uartcomm.c,C/H,518,20,20,28,0,0,PASS
src/applications/app_uartcomm.h,C/H,97,0,7,20,0,0,PASS
src/applications/appconf_default.h,C/H,283,0,0,0,0,0,PASS
src/comm/commands.c,C/H,3804,121,104,367,0,0,PASS
src/comm/commands.h,C/H,171,0,24,14,0,0,PASS
src/comm/packet.c,C/H,400,12,10,27,0,0,PASS
src/comm/packet.h,C/H,103,0,8,8,0,0,PASS
src/conf_general.c,C/H,637,33,33,75,0,0,PASS
src/conf_general.h,C/H,85,0,17,0,0,0,PASS
src/confgenerator.c,C/H,2109,52,52,159,0,0,PASS
src/confgenerator.h,C/H,294,0,23,0,0,0,PASS
src/datatypes.h,C/H,1951,0,0,730,0,0,PASS
src/encoder/enc_abi.c,C/H,98,6,6,5,0,0,PASS
src/encoder/enc_abi.h,C/H,32,0,5,0,0,0,PASS
src/encoder/encoder.c,C/H,63,7,7,0,0,0,PASS
src/encoder/encoder.h,C/H,40,0,7,0,0,0,PASS
src/encoder/encoder_cfg.c,C/H,6,0,0,1,0,0,PASS
src/encoder/encoder_cfg.h,C/H,11,0,0,2,0,0,PASS
src/encoder/encoder_datatype.h,C/H,9,0,0,0,0,0,PASS
src/freertos_hooks.c,C/H,25,2,2,0,0,0,PASS
src/freertos_openocd.c,C/H,14,0,0,1,0,0,PASS
src/freertos_vendor/queue_wrapper.c,C/H,22,0,0,0,0,0,PASS
src/hwconf/hw.c,C/H,1267,39,38,58,0,0,PASS
src/hwconf/hw.h,C/H,275,1,42,21,0,0,PASS
src/hwconf/hw_hoverboard.h,C/H,259,0,0,0,0,0,PASS
src/hwconf/hw_status.c,C/H,744,25,22,56,0,0,PASS
src/main.c,C/H,267,5,13,11,0,0,PASS
src/motor/foc_math.c,C/H,2064,45,44,298,0,0,PASS
src/motor/foc_math.h,C/H,289,0,29,5,0,0,PASS
src/motor/foc_sin_lut_q15.h,C/H,70,0,0,1,0,0,PASS
src/motor/mc_interface.c,C/H,4546,197,196,337,0,0,PASS
src/motor/mc_interface.h,C/H,678,0,149,8,0,0,PASS
src/motor/mc_math.c,C/H,298,9,9,30,0,0,PASS
src/motor/mc_math.h,C/H,125,0,7,0,0,0,PASS
src/motor/mcconf_default.h,C/H,108,0,0,0,0,0,PASS
src/motor/mcpwm_foc.c,C/H,5661,265,259,482,0,0,PASS
src/motor/mcpwm_foc.h,C/H,802,1,145,50,0,0,PASS
src/stm32f1xx_hal_conf.h,C/H,44,0,1,0,0,0,PASS
src/stm32f1xx_it.c,C/H,191,18,19,6,0,0,PASS
src/telemetry.c,C/H,536,15,15,58,0,0,PASS
src/telemetry.h,C/H,57,0,7,6,0,0,PASS
src/terminal.c,C/H,380,20,3,67,0,0,PASS
src/terminal.h,C/H,10,0,1,0,0,0,PASS
src/timeout.c,C/H,349,22,22,27,0,0,PASS
src/timeout.h,C/H,93,0,21,0,0,0,PASS
src/util/buffer.c,C/H,441,36,36,26,0,0,PASS
src/util/buffer.h,C/H,255,0,36,0,0,0,PASS
src/util/maths.c,C/H,26,2,2,0,0,0,PASS
src/util/maths.h,C/H,19,0,2,0,0,0,PASS
tools/add_function_comments_id.py,Python,85,3,3,,0,0,PASS
tools/audit_run10_all_files_docs.py,Python,107,0,0,,0,0,PASS
tools/audit_run10_complete_docs.py,Python,453,11,12,,0,0,PASS
tools/audit_run10_documentation.py,Python,453,11,12,,0,0,PASS
tools/audit_run11_full.py,Python,116,3,3,,0,0,PASS
tools/audit_run12_format.py,Python,180,4,4,,0,0,PASS
tools/audit_run8_contract.py,Python,62,3,3,,0,0,PASS
tools/audit_run9_contract.py,Python,131,3,3,,0,0,PASS
tools/comm_audit.py,Python,99,2,2,,0,0,PASS
tools/debug.py,Python,2667,96,135,,0,0,PASS
tools/document_all_script_functions_run10.py,Python,92,2,4,,0,0,PASS
tools/document_prototypes_run10.py,Python,382,9,11,,0,0,PASS
tools/document_script_variables_and_lambdas_run10.py,Python,118,2,4,,0,0,PASS
tools/extra_script.py,Python,40,0,0,,0,0,PASS
tools/layout_function_comments_run10.py,Python,128,3,5,,0,0,PASS
tools/layout_parameter_comments_run10.py,Python,182,5,7,,0,0,PASS
tools/normalize_indonesian_docs_run10.py,Python,155,3,6,,0,0,PASS
tools/rtos_audit.py,Python,100,0,0,,0,0,PASS
tools/split_variable_comments_run10.py,Python,77,3,3,,0,0,PASS
tools/vesc_io.py,Python,66,6,6,,0,0,PASS
tools/vesc_probe_correct.py,Python,101,4,4,,0,0,PASS
tools/vesc_tool_test.py,Python,161,7,7,,0,0,PASS
vesc_tools/01_list_ports.py,Python,18,1,1,,0,0,PASS
vesc_tools/02_test_connection.py,Python,21,1,1,,0,0,PASS
vesc_tools/03_scan_can_ids.py,Python,40,1,1,,0,0,PASS
vesc_tools/04_get_firmware.py,Python,22,1,1,,0,0,PASS
vesc_tools/05_get_values_once.py,Python,20,1,1,,0,0,PASS
vesc_tools/05b_get_values_selective.py,Python,29,1,2,,0,0,PASS
vesc_tools/06_get_setup_values.py,Python,22,1,1,,0,0,PASS
vesc_tools/07_monitor_realtime.py,Python,44,1,1,,0,0,PASS
vesc_tools/07b_monitor_all_can.py,Python,59,2,2,,0,0,PASS
vesc_tools/08_log_csv.py,Python,55,1,1,,0,0,PASS
vesc_tools/09_get_inputs.py,Python,34,1,1,,0,0,PASS
vesc_tools/10_get_imu.py,Python,26,1,2,,0,0,PASS
vesc_tools/11_terminal_command.py,Python,34,1,1,,0,0,PASS
vesc_tools/12_stop_motor.py,Python,20,1,1,,0,0,PASS
vesc_tools/13_set_duty.py,Python,14,0,1,,0,0,PASS
vesc_tools/14_set_current.py,Python,14,0,1,,0,0,PASS
vesc_tools/15_set_brake_current.py,Python,14,0,1,,0,0,PASS
vesc_tools/16_set_rpm.py,Python,14,0,1,,0,0,PASS
vesc_tools/17_set_position.py,Python,14,0,1,,0,0,PASS
vesc_tools/18_set_handbrake.py,Python,14,0,1,,0,0,PASS
vesc_tools/19_set_servo.py,Python,33,0,0,,0,0,PASS
vesc_tools/20_set_current_relative.py,Python,14,0,1,,0,0,PASS
vesc_tools/21_set_display_mode.py,Python,43,1,1,,0,0,PASS
vesc_tools/22_send_alive.py,Python,19,1,1,,0,0,PASS
vesc_tools/selftest_protocol.py,Python,58,5,5,,0,0,PASS
vesc_tools/vesc_protocol/__init__.py,Python,74,0,0,,0,0,PASS
vesc_tools/vesc_protocol/buffer.py,Python,134,21,21,,0,0,PASS
vesc_tools/vesc_protocol/build.py,Python,161,26,26,,0,0,PASS
vesc_tools/vesc_protocol/cli.py,Python,60,6,6,,0,0,PASS
vesc_tools/vesc_protocol/client.py,Python,110,11,11,,0,0,PASS
vesc_tools/vesc_protocol/crc.py,Python,14,1,1,,0,0,PASS
vesc_tools/vesc_protocol/ids.py,Python,248,0,0,,0,0,PASS
vesc_tools/vesc_protocol/packet.py,Python,101,4,4,,0,0,PASS
vesc_tools/vesc_protocol/parsers.py,Python,467,17,17,,0,0,PASS
vesc_tools/vesc_protocol/safety.py,Python,72,6,6,,0,0,PASS
vesc_tools/vesc_protocol/serial_linux.py,Python,118,9,9,,0,0,PASS
vesc_tools/vesc_protocol/setter_cli.py,Python,41,3,3,,0,0,PASS
vesc_tools/vesc_protocol/tests/__init__.py,Python,1,0,0,,0,0,PASS
vesc_tools/vesc_protocol/tests/test_buffer.py,Python,171,16,16,,0,0,PASS
vesc_tools/vesc_protocol/tests/test_build.py,Python,195,21,21,,0,0,PASS
vesc_tools/vesc_protocol/tests/test_client.py,Python,207,21,22,,0,0,PASS
vesc_tools/vesc_protocol/tests/test_crc.py,Python,39,5,5,,0,0,PASS
vesc_tools/vesc_protocol/tests/test_packet.py,Python,189,18,18,,0,0,PASS
vesc_tools/vesc_protocol/tests/test_parsers.py,Python,502,35,35,,0,0,PASS
openocd_debug/recover_under_reset.sh,Shell,30,0,0,,0,0,PASS
openocd_debug/run_debug.sh,Shell,248,7,7,,0,0,PASS
openocd_debug/uart_probe.sh,Shell,13,0,0,,0,0,PASS
